-6.5	0.0012	0.0011	0.0013
-6	0.0059	0.0061	0.0061
-5.5	0.0178	0.0187	0.0185
-5	0.045	0.0458	0.0461
-4.9	0.0536	0.0545	0.0552
-4.7	0.0741	0.0745	0.0753
-4.5	0.099	0.1006	0.1007
-4.3	0.13	0.131	0.133
-4.1	0.1678	0.168	0.1698
-4	0.1877	0.186	0.1872
-3.9	0.207	0.207	0.204
-3.7	0.243	0.237	0.237
-3.5	0.271	0.263	0.26
-3.3	0.294	0.285	0.281
-3.1	0.315	0.303	0.3
-3	0.324	0.314	0.309
-2.5	0.368	0.355	0.35
-2	0.405	0.392	0.386
-1.5	0.44	0.425	0.42
-1	0.472	0.458	0.453
-0.5	0.502	0.488	0.483
0	0.534	0.521	0.513
0.5	0.565	0.551	0.544
1	0.592	0.578	0.573
1.5	0.616	0.604	0.596
2	0.636	0.624	0.616
2.5	0.652	0.641	0.634
3	0.664	0.655	0.649
3.5	0.674	0.668	0.662
4	0.683	0.679	0.674
4.5	0.691	0.688	0.684
5	0.698	0.696	0.692
5.5	0.704	0.702	0.699
6	0.709	0.707	0.704
6.5	0.714	0.712	0.709
7	0.718	0.717	0.715
7.5	0.723	0.722	0.72
8	0.732	0.73	0.728
8.5	0.744	0.745	0.743
9	0.769	0.77	0.77
9.5	0.818	0.819	0.823
10	0.903	0.907	0.913
10.5	1.04	1.052	1.061
11	1.264	1.287	1.297
