-18	-0.0027	-0.0027	-0.0027
-17.5	-0.0026	-0.0026	-0.0026
-17	-0.0025	-0.0025	-0.0025
-16.5	-0.0024	-0.0024	-0.0024
-16	-0.0024	-0.0024	-0.0024
-15.5	-0.0023	-0.0023	-0.0023
-15	-0.0023	-0.0023	-0.0023
-14.5	-0.0022	-0.0022	-0.0022
-14	-0.0021	-0.0021	-0.0021
-13.5	-0.0021	-0.0021	-0.0021
-13	-0.002	-0.002	-0.002
-12.5	-0.0019	-0.0019	-0.0019
-12	-0.0018	-0.0018	-0.0018
-11.5	-0.0018	-0.0018	-0.0018
-11	-0.0017	-0.0017	-0.0017
-10.5	-0.0016	-0.0016	-0.0016
-10	-0.0015	-0.0015	-0.0015
-9.5	-0.0015	-0.0015	-0.0015
-9	-0.0014	-0.0014	-0.0014
-8.5	-0.0013	-0.0013	-0.0013
-8	-0.0012	-0.0012	-0.0012
-7.5	-0.0011	-0.0011	-0.0011
-7	-0.0009	-0.0009	-0.0009
-6.5	-0.0005	-0.0005	-0.0005
-6	0.0006	0.0006	0.0007
-5.5	0.0044	0.0045	0.0046
-5	0.015	0.015	0.0153
-4.9	0.0185	0.0183	0.0188
-4.7	0.0267	0.0276	0.0276
-4.5	0.0401	0.0402	0.0409
-4.3	0.058	0.0581	0.0584
-4.1	0.0823	0.0823	0.0824
-4	0.0972	0.0963	0.0969
-3.9	0.1135	0.1132	0.1145
-3.7	0.155	0.1545	0.1565
-3.5	0.208	0.206	0.205
-3.3	0.267	0.267	0.265
-3.1	0.332	0.33	0.322
-3	0.363	0.357	0.347
-2.5	0.469	0.457	0.44
-2	0.541	0.53	0.51
-1.5	0.602	0.59	0.571
-1	0.657	0.644	0.624
-0.5	0.71	0.696	0.673
0	0.762	0.743	0.723
0.5	0.811	0.792	0.776
1	0.85	0.837	0.822
1.5	0.893	0.874	0.864
2	0.922	0.907	0.899
2.5	0.944	0.932	0.924
3	0.961	0.951	0.942
3.5	0.975	0.962	0.96
4	0.987	0.973	0.973
4.5	0.995	0.984	0.985
5	1.002	0.995	0.994
5.5	1.009	1.003	1.002
6	1.016	1.012	1.009
6.5	1.023	1.019	1.017
7	1.03	1.026	1.023
7.5	1.036	1.033	1.029
8	1.042	1.039	1.036
8.5	1.051	1.048	1.045
9	1.066	1.063	1.06
9.5	1.095	1.091	1.086
10	1.149	1.144	1.135
10.5	1.254	1.245	1.233
11	1.434	1.42	1.403
